count,route_action,speed_action,speed_reason,commentary_template
5363,OTHER,MAINTAIN_SPEED,CONSTRUCTION,Shift a bit to the right to make space for the traffic that invades the lane because of the traffic cones. Maintain your current speed.
5267,FOLLOW_ROUTE,SLOW_DOWN,NONE_OR_UNKNOWN,Follow the route. Decelerate.
5163,FOLLOW_ROUTE,INCREASE_SPEED,TRAFFIC_LIGHT_GREEN,Follow the route. Accelerate because the traffic light is green and the other vehicles are stopped at the junction and the junction is clear.
4986,FOLLOW_ROUTE,MAINTAIN_REDUCED_SPEED,TRAFFIC_LIGHT_RED,Follow the route. Maintain the reduced speed to stay behind the <OBJECT> that is slowing down because of a red traffic light.
4938,FOLLOW_ROUTE,MAINTAIN_REDUCED_SPEED,TRAFFIC_LIGHT_RED,Follow the route. Maintain the reduced speed to stay behind the <OBJECT> at <DISTANCE> that is slowing down because of a red traffic light.
4752,GO_AROUND,UNKNOWN,CONSTRUCTION,Go around the construction site. Wait for a gap in the traffic before changing lanes to the lane with oncoming traffic.
4651,FOLLOW_ROUTE,MAINTAIN_SPEED,TRAFFIC_LIGHT_GREEN,Follow the route. Maintain your current speed because the traffic light is green.
4598,FOLLOW_ROUTE,INCREASE_SPEED,JUNCTION_NOTICE,Follow the route. Accelerate to drive through the junction because the other vehicles are stopped at the junction and the junction is clear.
4381,OVERTAKE,UNKNOWN,NONE_OR_UNKNOWN,Overtake the bikes on your lane. Wait for a gap in the traffic before changing lanes.
4028,GO_AROUND,SLOW_DOWN,NONE_OR_UNKNOWN,Return to your original route after avoiding the obstacle. Decelerate to drive with the target speed.
3919,FOLLOW_ROUTE,REMAIN_STOPPED,LEAD_VEHICLE_FOLLOW,Follow the route. Remain stopped due to the <OBJECT> intersecting your path.
3905,FOLLOW_ROUTE,MAINTAIN_REDUCED_SPEED,JUNCTION_NOTICE,Follow the route. Maintain the reduced speed to drive through the junction because the other vehicles are stopped at the junction and the junction is clear.
3888,GO_AROUND,MAINTAIN_SPEED,NONE_OR_UNKNOWN,Return to your original route after avoiding the obstacle. Maintain your current speed.
3826,FOLLOW_ROUTE,INCREASE_SPEED,TRAFFIC_LIGHT_GREEN,Follow the route. Accelerate because the traffic light is green.
3819,GO_AROUND,SLOW_DOWN,LEAD_VEHICLE_FOLLOW,Follow the route. Decelerate to avoid the <OBJECT> that is crossing the road.
3615,FOLLOW_ROUTE,INCREASE_SPEED,LEAD_VEHICLE_FOLLOW,Follow the route. Accelerate to follow the <OBJECT>. Pay attention to the walker and brake if necessary.
3515,OTHER,INCREASE_SPEED,CONSTRUCTION,Shift a bit to the right to make space for the traffic that invades the lane because of the traffic cones. Accelerate to drive with the target speed.
3503,FOLLOW_ROUTE,INCREASE_SPEED,LEAD_VEHICLE_FOLLOW,Follow the route. Accelerate to follow the <OBJECT> in <DISTANCE>. Pay attention to the walker and brake if necessary.
3352,OTHER,INCREASE_SPEED,LEAD_VEHICLE_FOLLOW,Turn left. Accelerate to follow the <OBJECT>.
3301,OTHER,INCREASE_SPEED,LEAD_VEHICLE_FOLLOW,Turn left. Accelerate to follow the <OBJECT> in <DISTANCE>.
3291,GO_AROUND,UNKNOWN,CONSTRUCTION,Go around the construction site. Wait for a gap in the traffic before changing lanes.
3253,GO_AROUND,UNKNOWN,ACCIDENT,Avoid the accident on your lane. Wait for a gap in the traffic before changing lanes.
3137,FOLLOW_ROUTE,INCREASE_SPEED,JUNCTION_NOTICE,Follow the route. Accelerate since you cleared the <OBJECT> but pay attention to the vehicle in the junction.
3058,GO_AROUND,INCREASE_SPEED,ACCIDENT,"Avoid the accident on your lane. Accelerate to change to the oncoming lane, as the gap is big enough."
3021,OTHER,INCREASE_SPEED,NONE_OR_UNKNOWN,Prepare to do a lane change. Accelerate to drive with the target speed.
2916,FOLLOW_ROUTE,MAINTAIN_REDUCED_SPEED,LEAD_VEHICLE_FOLLOW,Follow the route. Maintain the reduced speed due to the <OBJECT> in <DISTANCE>.
2885,FOLLOW_ROUTE,MAINTAIN_REDUCED_SPEED,LEAD_VEHICLE_FOLLOW,Follow the route. Maintain the reduced speed due to the <OBJECT>.
2826,GO_AROUND,MAINTAIN_REDUCED_SPEED,LEAD_VEHICLE_FOLLOW,Follow the route. Maintain the reduced speed to avoid the <OBJECT> that is crossing the road.
2698,OTHER,INCREASE_SPEED,VEHICLE,"Steer clear of the parked vehicle. Accelerate to change to the oncoming lane, as the gap is big enough."
2539,OVERTAKE,INCREASE_SPEED,NONE_OR_UNKNOWN,Stay on your current (oncoming) lane to overtake the bikes on your lane. Accelerate to drive with the target speed.
2493,GO_AROUND,INCREASE_SPEED,CONSTRUCTION,"Go around the construction site. Accelerate to change to the oncoming lane, as the gap is big enough."
2424,GO_AROUND,INCREASE_SPEED,ACCIDENT,Stay on your current (oncoming) lane to avoid the accident on your lane. Accelerate to drive with the target speed.
2419,OTHER,SLOW_DOWN,CONSTRUCTION,Shift a bit to the right to make space for the traffic that invades the lane because of the traffic cones. Decelerate to drive with the target speed.
2372,FOLLOW_ROUTE,INCREASE_SPEED,LEAD_VEHICLE_FOLLOW,Follow the route. Accelerate since you cleared the <OBJECT>.
2354,GO_AROUND,INCREASE_SPEED,VEHICLE,"Avoid the vehicle that is opening its door. Accelerate to change to the oncoming lane, as the gap is big enough."
2271,OTHER,INCREASE_SPEED,NONE_OR_UNKNOWN,Turn left. Accelerate to reach the speed limit.
2227,FOLLOW_ROUTE,INCREASE_SPEED,TRAFFIC_LIGHT_GREEN,Follow the route. Accelerate because the traffic light is green and the other vehicles are stopped at the junction and the vehicle in the junction is moving away.
2168,FOLLOW_ROUTE,SLOW_DOWN,TRAFFIC_LIGHT_GREEN,Follow the route. Decelerate because the traffic light is green.
2142,OVERTAKE,INCREASE_SPEED,NONE_OR_UNKNOWN,"Overtake the bikes on your lane. Accelerate to change to the oncoming lane, as the gap is big enough."
2120,OTHER,INCREASE_SPEED,NONE_OR_UNKNOWN,Turn right. Accelerate to reach the speed limit.
2117,OTHER,SLOW_DOWN,LEAD_VEHICLE_FOLLOW,Turn right. Decelerate to stay behind the <OBJECT> in <DISTANCE>.
2104,FOLLOW_ROUTE,SLOW_DOWN,JUNCTION_NOTICE,Follow the route. Decelerate because the other vehicles are stopped at the junction and the junction is clear.
2079,FOLLOW_ROUTE,MAINTAIN_SPEED,LEAD_VEHICLE_FOLLOW,Follow the route. Maintain your current speed to stay behind the <OBJECT>.
2066,OTHER,SLOW_DOWN,LEAD_VEHICLE_FOLLOW,Turn right. Decelerate to stay behind the <OBJECT>.
2058,GO_AROUND,INCREASE_SPEED,CONSTRUCTION,Stay on your current (oncoming) lane to go around the construction site. Accelerate to drive with the target speed.
2029,OTHER,INCREASE_SPEED,VEHICLE,"Steer clear of the parked vehicle. Accelerate to change to the neighbouring lane, as the gap is big enough."
2019,OTHER,SLOW_DOWN,VEHICLE,Turn right. Decelerate due to the <OBJECT>.
2008,GO_AROUND,MAINTAIN_REDUCED_SPEED,NONE_OR_UNKNOWN,Return to your original route after avoiding the obstacle. Maintain the reduced speed.
1961,GIVE_WAY,MAINTAIN_REDUCED_SPEED,EMERGENCY_VEHICLE,Stay on your current lane to give way to the emergency vehicle. Maintain the reduced speed.
1959,FOLLOW_ROUTE,INCREASE_SPEED,JUNCTION_NOTICE,Follow the route. Accelerate since you cleared the <OBJECT> but pay attention to the vehicles coming towards the junction.
1948,OTHER,SLOW_DOWN,VEHICLE,Turn right. Decelerate due to the <OBJECT> in <DISTANCE>.
1947,FOLLOW_ROUTE,MAINTAIN_SPEED,LEAD_VEHICLE_FOLLOW,Follow the route. Maintain your current speed to stay behind the <OBJECT> in <DISTANCE>.
1937,FOLLOW_ROUTE,MAINTAIN_SPEED,JUNCTION_NOTICE,Follow the route. Maintain your current speed to drive through the junction.
1926,OTHER,MAINTAIN_REDUCED_SPEED,LEAD_VEHICLE_FOLLOW,Prepare to do a lane change. Maintain the reduced speed to stay behind the <OBJECT>.
1897,OTHER,INCREASE_SPEED,JUNCTION_NOTICE,Turn left. Accelerate since you cleared the <OBJECT> but pay attention to the vehicle in the junction.
1883,OTHER,MAINTAIN_REDUCED_SPEED,LEAD_VEHICLE_FOLLOW,Prepare to do a lane change. Maintain the reduced speed to stay behind the <OBJECT> in <DISTANCE>.
1878,FOLLOW_ROUTE,INCREASE_SPEED,JUNCTION_NOTICE,Follow the route. Accelerate since you cleared the <OBJECT> and the other vehicles are stopped at the junction and the junction is clear.
1877,FOLLOW_ROUTE,INCREASE_SPEED,LEAD_VEHICLE_FOLLOW,Follow the route. Accelerate to drive closer to the <OBJECT>.
1848,GO_AROUND,INCREASE_SPEED,CONSTRUCTION,"Go around the construction site. Accelerate to change to the neighbouring lane, as the gap is big enough."
1841,FOLLOW_ROUTE,INCREASE_SPEED,LEAD_VEHICLE_FOLLOW,Follow the route. Accelerate to drive closer to the <OBJECT> in <DISTANCE>.
1782,OTHER,MAINTAIN_REDUCED_SPEED,LEAD_VEHICLE_FOLLOW,Turn right. Maintain the reduced speed to stay behind the <OBJECT>.
1779,OTHER,MAINTAIN_REDUCED_SPEED,LEAD_VEHICLE_FOLLOW,Turn right. Maintain the reduced speed to stay behind the <OBJECT> in <DISTANCE>.
1766,OTHER,INCREASE_SPEED,TRAFFIC_LIGHT_GREEN,Turn right. Accelerate because the traffic light is green and the other vehicles are stopped at the junction and the junction is clear.
1684,OTHER,REMAIN_STOPPED,VEHICLE,Turn right. Remain stopped due to the <OBJECT> intersecting your path.
1589,OTHER,INCREASE_SPEED,JUNCTION_NOTICE,Turn left. Accelerate to drive through the junction because the other vehicles are stopped at the junction and the junction is clear.
1551,OTHER,SLOW_DOWN,VEHICLE,Turn left. Decelerate due to the <OBJECT> intersecting your path.
1545,OTHER,MAINTAIN_REDUCED_SPEED,LEAD_VEHICLE_FOLLOW,Turn left. Maintain the reduced speed to stay behind the <OBJECT>.
1544,OTHER,MAINTAIN_REDUCED_SPEED,LEAD_VEHICLE_FOLLOW,Turn left. Maintain the reduced speed to stay behind the <OBJECT> in <DISTANCE>.
1540,FOLLOW_ROUTE,MAINTAIN_SPEED,JUNCTION_NOTICE,Follow the route. Maintain your current speed to drive through the junction because the other vehicles are stopped at the junction and the junction is clear.
1474,FOLLOW_ROUTE,INCREASE_SPEED,JUNCTION_NOTICE,Follow the route. Accelerate to drive through the junction because the other vehicles are stopped at the junction and the junction is clear. Pay attention to the walker and brake if necessary.
1437,FOLLOW_ROUTE,STOP,TRAFFIC_LIGHT_RED,Follow the route. Stop now to stay behind the <OBJECT> at <DISTANCE> that is slowing down because of a red traffic light.
1435,OVERTAKE,INCREASE_SPEED,NONE_OR_UNKNOWN,"Overtake the bikes on your lane. Accelerate to change to the neighbouring lane, as the gap is big enough."
1425,FOLLOW_ROUTE,STOP,TRAFFIC_LIGHT_RED,Follow the route. Stop now to stay behind the <OBJECT> that is slowing down because of a red traffic light.
1408,GO_AROUND,INCREASE_SPEED,ACCIDENT,"Avoid the accident on your lane. Accelerate to change to the neighbouring lane, as the gap is big enough."
1384,DEVIATION_DURING,INCREASE_SPEED,NONE_OR_UNKNOWN,Stay on your current lane to exit the parking lot. Accelerate to drive with the target speed.
1360,OTHER,INCREASE_SPEED,JUNCTION_NOTICE,Prepare to do a lane change. Accelerate to drive through the junction.
1353,OTHER,INCREASE_SPEED,VEHICLE,Prepare to steer clear of the parked vehicle. Accelerate to drive with the target speed.
1337,OVERTAKE,MAINTAIN_SPEED,NONE_OR_UNKNOWN,Stay on your current lane to overtake the bikes on your lane. Maintain your current speed.
1282,OTHER,SLOW_DOWN,LEAD_VEHICLE_FOLLOW,Turn left. Decelerate to stay behind the <OBJECT> in <DISTANCE>.
1251,FOLLOW_ROUTE,REMAIN_STOPPED,LEAD_VEHICLE_FOLLOW,Follow the route. Remain stopped due to the <OBJECT>. Pay attention to the walker and brake if necessary.
1249,FOLLOW_ROUTE,MAINTAIN_REDUCED_SPEED,LEAD_VEHICLE_FOLLOW,Follow the route. Maintain the reduced speed to drive closer to the stationary <OBJECT>.
1245,FOLLOW_ROUTE,REMAIN_STOPPED,LEAD_VEHICLE_FOLLOW,Follow the route. Remain stopped due to the <OBJECT> in <DISTANCE>. Pay attention to the walker and brake if necessary.
1238,OTHER,SLOW_DOWN,LEAD_VEHICLE_FOLLOW,Turn left. Decelerate to stay behind the <OBJECT>.
1219,FOLLOW_ROUTE,MAINTAIN_REDUCED_SPEED,LEAD_VEHICLE_FOLLOW,Follow the route. Maintain the reduced speed to drive closer to the stationary <OBJECT> at <DISTANCE>.
1178,FOLLOW_ROUTE,STOP,LEAD_VEHICLE_FOLLOW,Follow the route. Stop now to stay behind the <OBJECT>.
1177,OTHER,SLOW_DOWN,VEHICLE,"Steer clear of the parked vehicle. Decelerate to change to the oncoming lane, as the gap is big enough."
1150,FOLLOW_ROUTE,STOP,LEAD_VEHICLE_FOLLOW,Follow the route. Stop now to stay behind the <OBJECT> in <DISTANCE>.
1122,OTHER,INCREASE_SPEED,TRAFFIC_LIGHT_GREEN,Turn right. Accelerate because the traffic light is green and the other vehicles are stopped at the junction and the vehicle in the junction is moving away.
1057,GO_AROUND,SLOW_DOWN,ACCIDENT,"Avoid the accident on your lane. Decelerate to change to the oncoming lane, as the gap is big enough."
1042,GIVE_WAY,INCREASE_SPEED,EMERGENCY_VEHICLE,Stay on your current lane to give way to the emergency vehicle. Accelerate to drive with the target speed.
1037,OTHER,SLOW_DOWN,VEHICLE,Prepare to do a lane change. Decelerate due to the <OBJECT> in <DISTANCE>.
1034,OVERTAKE,INCREASE_SPEED,NONE_OR_UNKNOWN,Stay on your current lane to overtake the bikes on your lane. Accelerate to reach the speed limit.
1021,OTHER,INCREASE_SPEED,TRAFFIC_LIGHT_GREEN,Turn left. Accelerate because the traffic light is green and the other vehicles are stopped at the junction and the junction is clear.
1006,FOLLOW_ROUTE,MAINTAIN_REDUCED_SPEED,LEAD_VEHICLE_FOLLOW,Follow the route. Maintain the reduced speed due to the <OBJECT> intersecting your path.
987,OVERTAKE,INCREASE_SPEED,NONE_OR_UNKNOWN,Stay on your current lane to overtake the bikes on your lane. Accelerate to drive with the target speed.
979,OTHER,SLOW_DOWN,VEHICLE,Prepare to do a lane change. Decelerate due to the <OBJECT>.
977,OTHER,SLOW_DOWN,VEHICLE,Prepare to steer clear of the parked vehicle. Decelerate to drive with the target speed.
974,OVERTAKE,REMAIN_STOPPED,TRAFFIC_LIGHT_RED,Stay on your current lane to overtake the bikes on your lane. Remain stopped to stay behind the <OBJECT> that is stopped because of a red traffic light.
967,GO_AROUND,INCREASE_SPEED,ACCIDENT,Stay on your current lane to avoid the accident on your lane. Accelerate to drive with the target speed.
951,OVERTAKE,REMAIN_STOPPED,TRAFFIC_LIGHT_RED,Stay on your current lane to overtake the bikes on your lane. Remain stopped to stay behind the <OBJECT> at <DISTANCE> that is stopped because of a red traffic light.
949,OTHER,INCREASE_SPEED,TRAFFIC_LIGHT_GREEN,Turn left. Accelerate because the traffic light is green and the other vehicles are stopped at the junction and the vehicle in the junction is moving away.
945,OTHER,SLOW_DOWN,LEAD_VEHICLE_FOLLOW,Prepare to do a lane change. Decelerate to stay behind the <OBJECT>.
944,OTHER,SLOW_DOWN,LEAD_VEHICLE_FOLLOW,Prepare to do a lane change. Decelerate to stay behind the <OBJECT> in <DISTANCE>.
931,FOLLOW_ROUTE,INCREASE_SPEED,LEAD_VEHICLE_FOLLOW,Follow the route. Accelerate due to the <OBJECT> intersecting your path.
918,GO_AROUND,INCREASE_SPEED,CONSTRUCTION,Stay on your current lane to go around the construction site. Accelerate to drive with the target speed.
906,OTHER,SLOW_DOWN,VEHICLE,Turn left. Decelerate due to the <OBJECT>.
906,GO_AROUND,MAINTAIN_SPEED,CONSTRUCTION,Stay on your current lane to go around the construction site. Maintain your current speed.
893,OTHER,SLOW_DOWN,VEHICLE,Turn left. Decelerate due to the <OBJECT> in <DISTANCE>.
889,GO_AROUND,SLOW_DOWN,CONSTRUCTION,Prepare to go around the construction site. Decelerate to drive with the target speed.
886,FOLLOW_ROUTE,SLOW_DOWN,TRAFFIC_LIGHT_GREEN,Follow the route. Decelerate because the traffic light is green but pay attention to the vehicle coming towards the junction.
886,OTHER,MAINTAIN_SPEED,JUNCTION_NOTICE,Turn left. Maintain your current speed to drive through the junction.
872,GO_AROUND,SLOW_DOWN,VEHICLE,"Avoid the vehicle that is opening its door. Decelerate to change to the oncoming lane, as the gap is big enough."
834,OTHER,INCREASE_SPEED,NONE_OR_UNKNOWN,Turn left. Accelerate to drive with the target speed.
834,OTHER,REMAIN_STOPPED,TRAFFIC_LIGHT_RED,Prepare to do a lane change. Remain stopped to stay behind the <OBJECT> that is stopped because of a red traffic light.
825,OTHER,MAINTAIN_REDUCED_SPEED,JUNCTION_NOTICE,Turn left. Maintain the reduced speed to drive through the junction because the other vehicles are stopped at the junction and the junction is clear.
810,GO_AROUND,INCREASE_SPEED,LEAD_VEHICLE_FOLLOW,Follow the route. Accelerate to avoid the <OBJECT> that is crossing the road.
806,OTHER,MAINTAIN_SPEED,CONSTRUCTION,Prepare to steer clear of the oncoming traffic entering your lane due to the construction cones. Maintain your current speed.
790,GO_AROUND,SLOW_DOWN,VEHICLE,"Go around the <OBJECT>. Decelerate to change to the oncoming lane, as the gap is big enough."
784,OTHER,REMAIN_STOPPED,TRAFFIC_LIGHT_RED,Prepare to do a lane change. Remain stopped to stay behind the <OBJECT> at <DISTANCE> that is stopped because of a red traffic light.
774,OTHER,SLOW_DOWN,CONSTRUCTION,Shift a bit to the right to make space for the traffic that invades the lane because of the traffic cones. Decelerate to stay behind the <OBJECT> in <DISTANCE>.
760,OTHER,INCREASE_SPEED,TRAFFIC_LIGHT_GREEN,Turn left. Accelerate because the traffic light is green but pay attention to the vehicle coming towards the junction.
748,OTHER,INCREASE_SPEED,JUNCTION_NOTICE,Turn left. Accelerate to drive with the target speed because the other vehicles are stopped at the junction and the junction is clear.
743,OTHER,INCREASE_SPEED,NONE_OR_UNKNOWN,Turn right. Accelerate to drive with the target speed.
741,OTHER,INCREASE_SPEED,LEAD_VEHICLE_FOLLOW,Prepare to do a lane change. Accelerate to follow the <OBJECT> in <DISTANCE>.
731,OTHER,INCREASE_SPEED,JUNCTION_NOTICE,Turn left. Accelerate since you cleared the <OBJECT> but pay attention to the vehicles coming towards the junction.
730,GO_AROUND,SLOW_DOWN,ACCIDENT,Prepare to avoid the accident on your lane. Decelerate to drive with the target speed.
727,OTHER,MAINTAIN_REDUCED_SPEED,NONE_OR_UNKNOWN,Prepare to do a lane change. Maintain the reduced speed.
703,OTHER,INCREASE_SPEED,LEAD_VEHICLE_FOLLOW,Prepare to do a lane change. Accelerate to follow the <OBJECT>.
690,OTHER,SLOW_DOWN,CONSTRUCTION,Shift a bit to the right to make space for the traffic that invades the lane because of the traffic cones. Decelerate to stay behind the <OBJECT>.
673,FOLLOW_ROUTE,MAINTAIN_REDUCED_SPEED,LEAD_VEHICLE_FOLLOW,Follow the route. Maintain the reduced speed to stay behind the <OBJECT> in <DISTANCE>. Pay attention to the walker and brake if necessary.
669,OTHER,REMAIN_STOPPED,VEHICLE,Turn right. Remain stopped due to the <OBJECT> in <DISTANCE>. Pay attention to the walker and brake if necessary.
662,OTHER,REMAIN_STOPPED,VEHICLE,Turn right. Remain stopped due to the <OBJECT>. Pay attention to the walker and brake if necessary.
661,OTHER,INCREASE_SPEED,TRAFFIC_LIGHT_GREEN,Turn right. Accelerate because the traffic light is green but pay attention to the vehicle coming towards the junction.
657,OVERTAKE,SLOW_DOWN,NONE_OR_UNKNOWN,Stay on your current lane to overtake the bikes on your lane. Decelerate to drive with the target speed.
647,OTHER,INCREASE_SPEED,JUNCTION_NOTICE,Turn left. Accelerate since you cleared the <OBJECT> and the other vehicles are stopped at the junction and the junction is clear.
636,OTHER,INCREASE_SPEED,JUNCTION_NOTICE,Turn right. Accelerate to drive with the target speed because the other vehicles are stopped at the junction and the junction is clear.
621,FOLLOW_ROUTE,MAINTAIN_REDUCED_SPEED,LEAD_VEHICLE_FOLLOW,Follow the route. Maintain the reduced speed to stay behind the <OBJECT>. Pay attention to the walker and brake if necessary.
619,OTHER,INCREASE_SPEED,JUNCTION_NOTICE,Turn right. Accelerate to drive through the junction.
595,OTHER,SLOW_DOWN,NONE_OR_UNKNOWN,Prepare to do a lane change. Decelerate to drive with the target speed.
594,FOLLOW_ROUTE,STOP,LEAD_VEHICLE_FOLLOW,Follow the route. Stop now due to the <OBJECT> in <DISTANCE>.
579,OTHER,INCREASE_SPEED,JUNCTION_NOTICE,Turn left. Accelerate since you cleared the <OBJECT> and the other vehicles are stopped at the junction and the vehicle in the junction is moving away.
577,FOLLOW_ROUTE,STOP,LEAD_VEHICLE_FOLLOW,Follow the route. Stop now due to the <OBJECT>.
574,OTHER,SLOW_DOWN,NONE_OR_UNKNOWN,Turn left. Decelerate.
565,DEVIATION_DURING,INCREASE_SPEED,VEHICLE,Stay on your current lane to steer clear of the parked vehicle. Accelerate to drive with the target speed.
558,OVERTAKE,MAINTAIN_REDUCED_SPEED,NONE_OR_UNKNOWN,Stay on your current lane to overtake the bikes on your lane. Maintain the reduced speed.
554,FOLLOW_ROUTE,INCREASE_SPEED,JUNCTION_NOTICE,Follow the route. Accelerate since you cleared the <OBJECT> and the other vehicles are stopped at the junction and the vehicle in the junction is moving away.
554,OTHER,REMAIN_STOPPED,TRAFFIC_LIGHT_RED,Turn right. Remain stopped to stay behind the <OBJECT> at <DISTANCE> that is stopped because of a red traffic light.
547,GO_AROUND,MAINTAIN_SPEED,ACCIDENT,Stay on your current lane to avoid the accident on your lane. Maintain your current speed.
